일시,일조합(hr),일조율(%),일사합(MJ/m2)
2024-01-01,2.2,22,
2024-01-02,7.6,76,
2024-01-03,5.9,59,
2024-01-04,9.2,92,
2024-01-05,2.1,21,
2024-01-06,9.2,91.1,
2024-01-07,8.8,87.1,
2024-01-08,0.1,1,
2024-01-09,0,0,
2024-01-10,7.3,72.3,
2024-01-11,8.5,84.2,
2024-01-12,8.1,80.2,
2024-01-13,9.3,91.2,
2024-01-14,6.3,61.8,
2024-01-15,9.4,92.2,
2024-01-16,8.2,80.4,
2024-01-17,4.8,47.1,
2024-01-18,0.5,4.9,
2024-01-19,0,0,
2024-01-20,0,0,
2024-01-21,0.2,1.9,
2024-01-22,6.8,66,
2024-01-23,5.5,52.9,
2024-01-24,5.9,56.7,
2024-01-25,2.9,27.9,
2024-01-26,5.5,52.9,
2024-01-27,6.3,60,
2024-01-28,9.4,89.5,
2024-01-29,9.5,90.5,
2024-01-30,0,0,
2024-01-31,3.2,30.2,
2024-02-01,0,0,
2024-02-02,0,0,
2024-02-03,0,0,
2024-02-04,2.2,20.6,
2024-02-05,4,37.4,
2024-02-06,2.2,20.6,
2024-02-07,6.8,63.6,
2024-02-08,8.6,79.6,
2024-02-09,8.1,75,
2024-02-10,4.4,40.7,
2024-02-11,7.8,71.6,
2024-02-12,9.7,89,
2024-02-13,7.5,68.8,
2024-02-14,0,0,
2024-02-15,7.9,71.8,
2024-02-16,8.9,80.9,
2024-02-17,8.3,74.8,
2024-02-18,0,0,
2024-02-19,6.5,58.6,
2024-02-20,0,0,
2024-02-21,0,0,
2024-02-22,0,0,
2024-02-23,0,0,
2024-02-24,0,0,
2024-02-25,0.6,5.3,
2024-02-26,6.5,57.5,
2024-02-27,8.3,72.8,
2024-02-28,0,0,
2024-02-29,0,0,
2024-03-01,7.9,68.7,
2024-03-02,9.2,80,
2024-03-03,1.5,12.9,
2024-03-04,2.7,23.3,
2024-03-05,0,0,
2024-03-06,0.5,4.3,
2024-03-07,9.4,80.3,
2024-03-08,10.4,88.9,
2024-03-09,10.9,92.4,
2024-03-10,11.1,94.1,
2024-03-11,1.6,13.6,
2024-03-12,8.3,69.7,
2024-03-13,10.4,87.4,
2024-03-14,8,67.2,
2024-03-15,11.3,94.2,
2024-03-16,6.4,53.3,
2024-03-17,3.1,25.8,
2024-03-18,9.7,80.2,
2024-03-19,8.3,68.6,
2024-03-20,10.6,87.6,
2024-03-21,11.5,94.3,
2024-03-22,6.3,51.6,
2024-03-23,5,41,
2024-03-24,0,0,
