일시,교래태양광,종합경기장 태양광,행원태양광,홍보관주차장 태양광,수산태양광,태양광전체
2024-01-01,747.8,488.832,37.656,43.44,1490.428,2808.156
2024-01-02,1081.6,813.344,240.264,143.88,2613.493,4892.581
2024-01-03,1018,315.072,168.696,119.28,2718.351,4339.399
2024-01-04,1988.6,1356.416,416.88,215.04,4142.248,8119.184
2024-01-05,1666.8,762.656,284.184,168.32,3057.511,5939.471
2024-01-06,2010.8,1377.824,512.136,286.88,5074.4,9262.04
2024-01-07,517.2,283.488,110.016,103.84,1110.77,2125.314
2024-01-08,1030.8,935.872,258.84,158.36,2938.912,5322.784
2024-01-09,362.2,192.48,53.64,51.76,929.981,1590.061
2024-01-10,1248.6,574.528,288.072,174.48,4217.455,6503.135
2024-01-11,2247.4,938.24,380.592,220.12,5364.385,9150.737
2024-01-12,1395.8,442.24,126.144,110.84,3408.969,5483.993
2024-01-13,2209.8,1487.424,529.128,303.6,5304.364,9834.316
2024-01-14,2139,1475.808,516.888,288.8,5115.62,9536.116
2024-01-15,2359.8,1524.064,584.784,358,5694.146,10520.794
2024-01-16,2194.2,1640.8,526.248,307.72,5198.058,9867.026
2024-01-17,1023,911.296,233.424,145.16,2377.021,4689.901
2024-01-18,466.2,233.504,25.92,2.6,1000.129,1728.353
2024-01-19,66.4,159.36,0,0.04,120.043,345.843
2024-01-20,115.2,79.52,0.72,0,170.664,366.104
2024-01-21,205.4,99.04,14.544,15.52,550.323,884.827
2024-01-22,280,155.36,11.736,0.88,782.458,1230.434
2024-01-23,784.2,303.04,124.128,18.52,1967.713,3197.601
2024-01-24,537.8,207.264,75.672,22.4,997.957,1841.093
2024-01-25,637.2,181.568,91.944,71.84,2058.106,3040.658
2024-01-26,942.6,218.72,240.984,145.56,3094.392,4642.256
2024-01-27,1577,793.056,230.904,164.96,3722.094,6488.014
2024-01-28,1259.2,709.088,251.64,169.76,4780.075,7169.763
2024-01-29,1753.4,1300.48,328.176,190.28,4459.717,8032.053
2024-01-30,266.4,316.192,35.352,28.56,529.353,1175.857
2024-01-31,545,1035.904,69.048,60.8,835.97,2546.722
2024-02-01,88.8,55.36,0,0.2,135.231,279.591
2024-02-02,138.6,117.76,0.144,0.24,240.812,497.556
2024-02-03,87.4,149.504,1.944,2.2,143.91,384.958
2024-02-04,258.4,365.824,90.504,74.28,689.891,1478.899
2024-02-05,398,287.52,44.424,5.04,1640.123,2375.107
2024-02-06,598.4,149.984,70.488,79.28,1938.787,2836.939
2024-02-07,849.8,655.456,128.736,123.48,3096.562,4854.034
2024-02-08,1074.6,485.632,155.304,145.4,3088.609,4949.545
2024-02-09,887.2,513.824,201.24,159.84,3711.246,5473.35
2024-02-10,832.6,542.496,158.688,136.84,2110.177,3780.801
2024-02-11,1726.2,1175.232,391.104,241.6,3523.949,7058.085
2024-02-12,2575.6,1918.976,591.336,367.48,5692.698,11146.09
2024-02-13,2509.4,1962.144,599.328,360.8,0,5431.672
