일시,교래태양광,종합경기장 태양광,행원태양광,홍보관주차장태양광,수산태양광,태양광전체
2025-01-01,1087,1687,595.44,259.2,3109,6738
2025-01-02,1153,1091,520.704,226.96,4407,7398
2025-01-03,1454,1076,533.448,0,4251,7315
2025-01-04,1525,1388,493.272,0,3786,7193
2025-01-05,314,374,69.264,0,644,1401
2025-01-06,405,550,180.792,0,1407,2542
2025-01-07,1007,849,241.056,112.44,2102,4312
2025-01-08,382,158,27.144,25.6,1364,1956
2025-01-09,134,585,167.976,54.32,2203,3145
2025-01-10,426,247,286.272,134.88,4032,5126
2025-01-11,70.6,394,124.056,75.92,1853,2517
2025-01-12,980,688,605.808,270.68,3190,5734
2025-01-13,1912,1606,506.88,233.6,4914,9172
2025-01-14,1466,1414,481.968,218.92,3372,6953
2025-01-15,402,314,113.616,78.8,937,1846
2025-01-16,784.8,530,170.64,108.4,2309,3903
2025-01-17,1391.6,1094.24,458.784,236.24,3230,6410
2025-01-18,977,1664,572.04,253.96,3000,6468
2025-01-19,1632,1913,526.176,227,3128,7426
2025-01-20,1702,1412.864,492.048,229.04,4171.898,8008
2025-01-21,2260.6,1937.888,717.768,299.2,5263.14,10479
2025-01-22,1253.8,1305.28,473.976,290.88,2892,6216
2025-01-23,1971.2,1897,811.44,305.12,4771,9756
2025-01-24,1202,1164,468.144,173.76,2677,5685
2025-01-25,931.8,1137,514.368,162.48,2183,4929
2025-01-26,360,540,129.384,75.56,725,1829
2025-01-27,104,296,188.568,68.68,1747,2405
2025-01-28,545,651,308.88,94.72,2488,4088
2025-01-29,927.4,778,330.912,124,2229,4389
2025-01-30,2107,2271,1034.928,277.28,4413,10103
2025-01-31,501.6,1253,620.208,198,1415,3988
2025-02-01,104,108,19.008,0,240,471
2025-02-02,1830.6,1480.64,782.208,0,4116,8210
2025-02-03,1130,676,385.272,131.48,2504,4827
2025-02-04,495,447,479.952,119.48,1640,3182
2025-02-05,808.4,681.76,292.896,95.48,2306,4185
2025-02-06,78.8,712.928,239.688,96.4,2234,3362
2025-02-07,4,470,207.576,5.96,556,1244
2025-02-08,8.8,419.968,203.904,0,2063.172,2696
2025-02-09,367,426,240.984,0,1308,2343
2025-02-10,1167,1125,330.696,0,2777,5400
2025-02-11,2673,2468,960.552,330.4,5607,12039
2025-02-12,632,304,26.568,2.4,1323,2288
2025-02-13,2891,2374.72,1023.912,422.36,5720.18,12432
2025-02-14,1870,1907.712,856.152,315.8,3886,8836
2025-02-15,237,374,58.896,35.96,420,1125
2025-02-16,2573.4,2227.104,845.712,346.24,5121.405,11114
2025-02-17,2253.2,1777,898.992,352.56,4621,9903
2025-02-18,2515.4,1644.544,688.176,312.56,4387,9548
2025-02-19,1973.6,1723.2,696.96,319.28,3960.011,8673
2025-02-20,2389.2,1613.568,771.192,335.12,4905.908,10015
2025-02-21,2654.2,1668.064,820.656,357.64,5146,10647
2025-02-22,722,972,400.536,191.84,2582,4869
2025-02-23,961,819,297.864,162.28,1744,3983
2025-02-24,2262,1070,458.064,221.04,4486,8497
2025-02-25,1570.6,1659.776,700.344,264.2,2437.768,6632.688
2025-02-26,2725,2209.216,933.984,357.6,5116.338,11342.138
2025-02-27,696.4,827.424,308.808,117.92,1381,3332
2025-02-28,972.6,786,471.24,201.52,1583,4015
2025-03-01,841,1171,328.32,147.72,673,3160
2025-03-02,1112.6,759.072,240.84,110.24,1140,3362
2025-03-03,138.2,173.632,18.864,8.16,175.003,513.859
2025-03-04,284.6,254.208,76.104,3.32,453,1072
2025-03-05,333,316,344.952,141.64,984,2120
2025-03-06,1930,2016,956.52,399.56,5017,10318
2025-03-07,1831,2423,758.808,298.56,3034,8345
2025-03-08,628,744,230.904,117.12,1096,2816
2025-03-09,2755,2557,1153.728,421.12,5944,12831
2025-03-10,699,739,266.688,135.76,1444,3284
2025-03-11,1439.6,1918,808.488,303.16,3769,8238
2025-03-12,596.6,590.656,222.912,115.92,1747.147,3273
2025-03-13,1206,1186,479.88,202.2,2508,5582
2025-03-14,2142,1774,724.68,289.76,4187,9118
2025-03-15,131,120,11.52,6.92,231,500
2025-03-16,767,391,385.272,184.24,3007,4734
2025-03-17,3003.6,1847.552,1001.232,512.72,6568.442,12933.546
2025-03-18,1295.8,1646,518.544,295,3272,7028
2025-03-19,1987,1940,525.6,303.6,4126,8883
2025-03-20,2998,2795,1031.328,471.88,6163,13460
2025-03-21,3047,2824.768,1034.928,484.04,6349,13739
2025-03-22,3124,2872.704,1047.384,490.28,6514.204,14049
2025-03-23,2860,2711,993.6,469.76,6039,13073
2025-03-24,2751,2595,950.472,433.04,5800,12529
2025-03-25,2687,2545.856,893.448,406.04,5617,12150
2025-03-26,2963.2,2721.344,970.776,436.72,5882,12974
2025-03-27,701.6,575,195.624,89.36,1618,3180
2025-03-28,1927.4,1847.232,529.992,292.28,3247,7844
2025-03-29,1559,1651.968,429.768,235.84,3472,7348
2025-03-30,2667.2,2559.68,837.936,460.24,5719,12244
2025-03-31,2789.4,2614.528,912.096,436.92,5839,12592
