일시, 교래태양광 , 종합경기장 태양광 , 행원태양광 , 홍보관주차장태양광 , 수산태양광 , 태양광전체 
2025-10-01,2715 ,1973 ,1055 ,418 ,5954 ,12116 
2025-10-02,2079 ,1831 ,673 ,286 ,4635 ,9505 
2025-10-03,190 ,281 ,64 ,42 ,295 ,873 
2025-10-04,2000 ,1167 ,691 ,248 ,3976 ,8082 
2025-10-05,2504 ,2262 ,790 ,328 ,5389 ,11273 
2025-10-06,1896 ,2232 ,926 ,353 ,5345 ,10752 
2025-10-07,840 ,684 ,292 ,132 ,4327 ,6276 
2025-10-08,1093 ,616 ,299 ,132 ,3505 ,5645 
2025-10-09,753 ,1642 ,728 ,290 ,2089 ,5502 
2025-10-10,1791 ,2348 ,944 ,349 ,3942 ,9374 
2025-10-11,2269 ,2290 ,958 ,345 ,4484 ,10346 
2025-10-12,2360 ,1773 ,798 ,321 ,4535 ,9787 
2025-10-13,1518 ,2019 ,775 ,260 ,3580 ,8152 
2025-10-14,1295 ,559 ,434 ,166 ,2724 ,5178 
2025-10-15,566 ,1276 ,39 ,34 ,160 ,2075 
2025-10-16,454 ,275 ,143 ,84 ,1742 ,2698 
2025-10-17,686 ,1502 ,394 ,168 ,1561 ,4310 
2025-10-18,558 ,242 ,170 ,97 ,2047 ,3113 
2025-10-19,241 ,287 ,137 ,80 ,638 ,1383 
2025-10-20,1547 ,1591 ,805 ,326 ,838 ,5107 
2025-10-21,518 ,327 ,124 ,84 ,1383 ,2437 
2025-10-22,1201 ,1159 ,521 ,224 ,3209 ,6313 
2025-10-23,1463 ,1779 ,692 ,295 ,3355 ,7584 
2025-10-24,1990 ,2022 ,806 ,348 ,4051 ,9217 
2025-10-25,1308 ,663 ,426 ,204 ,3466 ,6067 
2025-10-26,1916 ,1165 ,615 ,278 ,4274 ,8247 
2025-10-27,1455 ,1331 ,688 ,299 ,4021 ,7794 
2025-10-28,2345 ,2191 ,824 ,375 ,5638 ,11374 
2025-10-29,2010 ,2248 ,710 ,282 ,4785 ,10034 
2025-10-30,1420 ,1360 ,496 ,218 ,3134 ,6628 
2025-10-31,1292 ,1182 ,598 ,241 ,3151 ,6463 
2025-11-01,1277 ,1536 ,689 ,290 ,3001 ,6793 
2025-11-02,989 ,1516 ,602 ,268 ,2344 ,5719 
2025-11-03,2507 ,2211 ,772 ,314 ,5743 ,11547 
2025-11-04,1152 ,802 ,316 ,162 ,2604 ,5037 
2025-11-05,1961 ,1902 ,649 ,250 ,4045 ,8807 
2025-11-06,2251 ,2009 ,815 ,326 ,5154 ,10554 
2025-11-07,1547 ,1547 ,569 ,224 ,2970 ,6858 
2025-11-08,227 ,231 ,43 ,35 ,402 ,937 
2025-11-09,1629 ,1285 ,568 ,191 ,4434 ,8106 
2025-11-10,2456 ,2091 ,921 ,371 ,5574 ,11413 
2025-11-11,1936 ,1812 ,604 ,255 ,4591 ,9198 
2025-11-12,458 ,502 ,138 ,87 ,980 ,2165 
2025-11-13,1712 ,1503 ,600 ,240 ,3823 ,7877 
2025-11-14,2376 ,2040 ,907 ,357 ,5597 ,11277 
2025-11-15,2274 ,2088 ,870 ,309 ,5358 ,10899 
2025-11-16,1974 ,1699 ,694 ,216 ,3685 ,8269 
2025-11-17,665 ,493 ,127 ,81 ,1422 ,2789 
2025-11-18,523 ,282 ,189 ,104 ,1362 ,2460 
2025-11-19,844 ,509 ,200 ,108 ,2750 ,4411 
2025-11-20,1128 ,497 ,180 ,99 ,3297 ,5201 
2025-11-21,2118 ,1701 ,713 ,302 ,4887 ,9722 
2025-11-22,1692 ,1408 ,708 ,309 ,4054 ,8170 
2025-11-23,2004 ,1974 ,808 ,320 ,4545 ,9651 
2025-11-24,1125 ,1401 ,524 ,222 ,1919 ,5191 
