ÀÏ½Ã, °¡½Ã¸®Ç³·Â , ±è³çÇ³·Â , µ¿º¹Ç³·Â , ½ÅÃ¢Ç³·Â , Çà¿øÇ³·Â , Ç³·ÂÀüÃ¼ 
2018-07-01,199076,0,361699,16739,72497,650010
2018-07-02,103110,0,323366,7014,50707,484198
2018-07-03,193651,0,444816,7796,132819,779082
2018-07-04,39171,0,121392,736,38916,200214
2018-07-05,2697,0,18173,450,6028,27347
2018-07-06,71692,74,228355,696,105743,406560
2018-07-07,93479,0,300211,0,127146,520836
2018-07-08,49356,0,214675,0,108854,372886
2018-07-09,22152,0,133632,2293,12605,170681
2018-07-10,17202,1592,85766,12243,7550,124354
2018-07-11,63311,1238,105466,10953,12732,193699
2018-07-12,11694,222,26726,2088,6882,47613
2018-07-13,3953,39,2074,664,93,6823
2018-07-14,821,10,432,468,6,1736
2018-07-15,4,262,346,343,1621,2576
2018-07-16,1284,74,605,144,3837,5944
2018-07-17,1896,489,7085,20,1840,11330
2018-07-18,4,3,29,112,0,148
2018-07-19,23,48,0,649,10,730
2018-07-20,107,106,6739,117,26,7095
2018-07-21,23560,1469,68746,2959,15267,112000
2018-07-22,169672,2221,360202,10132,78435,620661
2018-07-23,61340,1382,126605,6596,19934,215856
2018-07-24,30120,987,63245,3468,9402,107222
2018-07-25,6790,357,6797,1416,3844,19202
2018-07-26,442,91,173,44,264,1014
2018-07-27,12233,1066,18662,634,14803,47398
2018-07-28,63804,1481,25661,3561,12218,106724
2018-07-29,43262,2097,32746,4451,23393,105949
2018-07-30,39365,4031,139680,8169,52670,243916
2018-07-31,62185,1457,59414,8675,24421,156153
2018-08-01,74095,1526,64973,9032,21881,171507
2018-08-02,38925,4421,138413,3880,50551,236189
2018-08-03,116050,5623,261907,10156,70225,463961
2018-08-04,20621,292,25171,1479,1926,49490
2018-08-05,2834,1210,20419,131,11700,36295
2018-08-06,59489,2519,59875,1564,24430,147878
2018-08-07,10067,1124,40781,344,7120,59436
2018-08-08,18598,794,10944,1206,5650,37192
2018-08-09,31569,1528,17741,1303,9300,61441
2018-08-10,14265,777,21110,649,5089,41890
2018-08-11,17453,3822,112349,1007,52506,187138
2018-08-12,61331,5420,167818,4989,91114,330671
2018-08-13,82191,4911,285581,9362,65451,447495
2018-08-14,12593,1971,69984,3522,12995,101064
2018-08-15,14259,2537,76694,2639,38408,134536
2018-08-16,136812,6892,348941,10033,129391,632068
2018-08-17,188293,7214,480989,7161,142893,826551
2018-08-18,30064,4557,136454,1094,51570,223739
2018-08-19,871,1980,68054,2266,28435,101606
2018-08-20,46748,2700,160186,7984,33749,251366
2018-08-21,24888,836,55152,3734,6723,91333
2018-08-22,174221,6277,344016,12283,101079,637876
2018-08-23,15222,1121,53856,1713,10468,82380
2018-08-24,31972,2370,294797,6508,38821,374469
2018-08-25,10997,912,24768,1597,8304,46579
2018-08-26,144455,4914,343440,16302,92188,601298
2018-08-27,89041,2175,246326,12961,65232,415736
2018-08-28,35775,854,24970,5475,14381,81454
2018-08-29,55123,2521,153706,8661,38582,258592
2018-08-30,52741,229,12960,4236,5972,76137
2018-08-31,70508,391,35251,4949,7640,118739
2018-09-01,21696,2595,58694,2144,52193,137323
2018-09-02,21946,674,127354,1018,63428,214419
2018-09-03,83727,2008,96077,5337,28340,215488
2018-09-04,121537,4551,244656,6632,105857,483234
2018-09-05,14898,3134,79862,1386,33135,132415
2018-09-06,3573,415,21658,1062,6846,33553
2018-09-07,47562,2131,52906,3272,32076,137947
2018-09-08,65961,1395,17510,4839,22174,111879
2018-09-09,85091,1158,12557,5667,17885,122359
2018-09-10,60912,4833,158976,7483,92999,325203
2018-09-11,92004,3808,370541,12073,163274,641700
2018-09-12,28801,3267,141552,5065,96981,275667
2018-09-13,72431,3147,188554,2933,131399,398463
2018-09-14,35712,146,18000,3864,4891,62614
2018-09-15,9347,481,14630,1153,10313,35924
2018-09-16,298,370,11030,497,5289,17485
2018-09-17,5753,126,1354,1153,2225,10610
2018-09-18,6039,680,8582,1494,12391,29187
2018-09-19,1660,1014,35222,2492,10900,51289
2018-09-20,15368,2742,67046,3391,29798,118345
2018-09-21,51002,5624,131875,6150,74867,269518
2018-09-22,32724,777,17021,2445,13838,66804
2018-09-23,7481,832,13421,2036,9090,32860
2018-09-24,102679,1050,14314,8243,20058,146343
2018-09-25,59544,4984,103219,10802,65681,244230
2018-09-26,93334,11876,342806,11309,159924,619248
2018-09-27,63173,7987,172339,8737,125011,377247
2018-09-28,44251,9369,204394,4460,137372,399846
2018-09-29,100267,11070,274579,13596,148830,548342
2018-09-30,136483,10774,455962,15639,184025,802883
