ÀÏ½Ã,°¡½Ã¸®Ç³·Â,±è³çÇ³·Â,µ¿º¹Ç³·Â,½ÅÃ¢Ç³·Â,Çà¿øÇ³·Â,Ç³·ÂÀüÃ¼
2024-09-01,22,280,11146,4,1576,13026
2024-09-02,2105,104,5098,0,1036,8342
2024-09-03,2442,2740,61834,844,17099,84958
2024-09-04,8152,3110,72893,841,23812,108807
2024-09-05,72,781,13018,299,1120,15289
2024-09-06,1064,214,4378,138,1452,7247
2024-09-07,2336,233,2246,669,1315,6799
2024-09-08,361,159,5242,93,4,5859
2024-09-09,8719,1542,44611,820,9275,64968
2024-09-10,29236,3430,123984,2010,35942,194603
2024-09-11,33828,1590,118541,4329,19790,178078
2024-09-12,17849,1189,85018,2791,13172,120019
2024-09-13,48,191,11030,254,197,11720
2024-09-14,17388,174,5674,2744,730,26709
2024-09-15,54444,4791,156038,3185,29051,247509
2024-09-16,30100,853,99101,1959,10343,142356
2024-09-17,626,120,5357,264,323,6690
2024-09-18,2938,680,24710,540,1362,30230
2024-09-19,63936,3119,140256,9957,39718,256985
2024-09-20,106132,3511,227462,13657,48545,399308
2024-09-21,164461,4182,215539,17228,56338,457748
2024-09-22,99685,4874,108288,14959,42552,270358
2024-09-23,79697,6454,361411,9320,38684,495566
2024-09-24,21419,3266,93312,2458,24268,144723
2024-09-25,16838,3840,84643,1850,24235,131406
2024-09-26,15607,268,5616,1488,1491,24470
2024-09-27,76140,558,11981,8981,3481,101141
2024-09-28,41203,3931,132278,3171,21703,202286
2024-09-29,76848,9560,322042,2063,27420,437933
2024-09-30,7180,3380,63360,34,9328,83281
2024-10-01,77047,2578,67306,8345,19088,174364
2024-10-02,153266,5786,179971,19169,37684,395876
2024-10-03,149760,3197,63101,12497,32450,261005
2024-10-04,40664,2306,43661,10754,23845,121231
2024-10-05,24687,3285,83635,8472,28318,148398
2024-10-06,39122,1723,32227,9237,15271,97580
2024-10-07,99599,2616,57139,11809,22892,194055
2024-10-08,101105,2490,58550,9234,21869,193248
2024-10-09,51139,3449,45533,2431,24193,126745
2024-10-10,29789,2708,45677,4980,10792,93946
2024-10-11,15445,155,490,3114,953,20156
2024-10-12,4981,323,11088,2508,1008,19908
2024-10-13,15281,2977,60422,3277,26400,108358
2024-10-14,8457,307,23040,4484,1656,37944
2024-10-15,51055,715,13968,2549,8752,77039
2024-10-16,62340,1552,18518,8848,14983,106242
2024-10-17,26597,7422,140083,3934,53262,231297
2024-10-18,91911,2165,84557,9897,25258,213787
2024-10-19,108531,6727,276854,17870,49470,459452
2024-10-20,152870,190,503510,15315,65743,737629
2024-10-21,17070,7239,114739,2660,59252,200960
2024-10-22,86437,5464,108029,10827,41977,252734
2024-10-23,154669,7782,383789,19650,70187,636077
2024-10-24,129234,2678,56822,16518,30943,236196
2024-10-25,68774,10713,247594,3725,71701,402507
2024-10-26,11739,9224,167184,2418,73093,263658
2024-10-27,47431,2478,48470,7613,29834,135827
2024-10-28,62016,2356,51350,7472,17575,140770
2024-10-29,31308,6625,143942,6313,62664,250852
2024-10-30,56537,2254,45936,12205,26227,143159
2024-10-31,19642,7192,105869,2654,57835,193191
2024-11-01,124498,8914,238349,13948,78656,464365
2024-11-02,101248,4845,128275,10147,44087,288602
2024-11-03,10852,2352,40608,2136,27833,83781
2024-11-04,47874,2986,92592,7633,21360,172445
2024-11-05,184658,10736,379210,21365,86737,682706
2024-11-06,151340,8446,285638,20334,60374,526132
2024-11-07,62567,205,979,5047,1465,70263
2024-11-08,30210,2370,45619,3552,18319,100070
2024-11-09,17536,3429,71654,5885,38358,136862
2024-11-10,4759,1527,21859,2461,19241,49847
2024-11-11,34357,296,374,7409,3775,46211
2024-11-12,135140,1607,46138,9712,28398,220994
2024-11-13,31301,3313,52733,3623,35107,126078
2024-11-14,1162,2408,29808,238,24186,57802
2024-11-15,2703,2398,30067,149,29141,64458
2024-11-16,8941,2793,34502,1212,27683,75132
2024-11-17,174152,10247,382234,21757,53530,641919
2024-11-18,100280,7434,218678,14351,41062,381805
2024-11-19,30417,3679,47146,8880,23234,113356
2024-11-20,142629,1447,29779,11636,15720,201211
2024-11-21,68082,3344,90432,6550,26419,194827
2024-11-22,108603,8661,253670,18277,46196,435408
2024-11-23,156840,3008,72979,9631,20323,262781
2024-11-24,60441,523,18029,6524,5327,90844
2024-11-25,61471,4406,232502,16862,44860,360100
2024-11-26,135914,752,488880,25073,73144,723762
2024-11-27,58725,3115,499277,24017,70333,655466
2024-11-28,66341,1667,426125,25458,55555,575147
2024-11-29,93635,359,540634,26075,71587,732289
2024-11-30,57613,3229,208771,9418,46392,325423
2024-12-01,3260,136,7402,1841,958,13596
2024-12-02,21917,2494,73181,6177,15328,119095
2024-12-03,123376,4674,118829,18020,28081,292980
2024-12-04,65880,4295,109901,14423,23803,218302
2024-12-05,31499,9879,314611,17512,35992,409492
2024-12-06,54276,7555,220522,13703,31946,328002
2024-12-07,31677,3191,141725,11862,19708,208162
2024-12-08,133406,6372,395856,23762,65534,624931
2024-12-09,27516,4516,126432,9360,26203,194027
2024-12-10,74755,2567,89136,8948,25432,200837
2024-12-11,123657,6241,180461,19329,45922,375609
2024-12-12,161761,5900,161078,18802,54923,402463
2024-12-13,115871,5688,267926,17832,74096,481414
2024-12-14,98827,6812,435139,21502,78701,640981
2024-12-15,35528,5070,485770,25698,83632,635697
2024-12-16,21410,3273,181872,11669,40566,258791
2024-12-17,67857,2141,52301,6976,22572,151847
2024-12-18,151998,5558,368150,25101,64661,615467
2024-12-19,90359,1332,143366,12499,26966,274522
2024-12-20,29845,424,16906,945,3462,51582
2024-12-21,100683,2843,470621,26858,78523,679529
2024-12-22,165972,7099,405072,24292,80905,683339
2024-12-23,54361,6747,196992,7404,42545,308050
