일시, 가시리,김녕리,동복리,신창리,행원리,전체 
2025-10-01,53510,301,13478,950,10524,78764
2025-10-02,4306,1404,20390,1199,22332,49631
2025-10-03,69091,2102,147830,8086,51768,278878
2025-10-04,43286,2374,105984,3080,39216,193940
2025-10-05,26251,369,27734,513,7608,62476
2025-10-06,7661,63,5213,266,2232,15435
2025-10-07,87811,0,130320,5267,34668,258066
2025-10-08,65808,0,73440,6874,27216,173338
2025-10-09,35352,0,163930,4405,59124,262810
2025-10-10,8381,1037,86256,439,37872,133985
2025-10-11,4507,198,8986,335,8352,22378
2025-10-12,31550,0,21168,441,12144,65303
2025-10-13,4320,135,7978,792,4080,17305
2025-10-14,44611,571,22954,3305,14664,86104
2025-10-15,11966,3179,71914,585,46908,134552
2025-10-16,58579,1019,44669,10787,19032,134086
2025-10-17,29952,3764,149472,2453,54708,240349
2025-10-18,127195,1816,88099,13817,27768,258695
2025-10-19,60422,5963,227664,11948,58920,364918
2025-10-20,178258,2113,74592,14531,28620,298114
2025-10-21,88315,1760,72864,12773,30000,205712
2025-10-22,70186,2779,154915,11309,45588,284777
2025-10-23,66226,3411,176400,9889,37692,293618
2025-10-24,46210,1132,40349,4910,21528,114129
2025-10-25,73958,1093,38563,5476,15288,134378
2025-10-26,117677,3640,184205,12395,46068,363984
2025-10-27,95112,6912,348912,14639,70920,536495
2025-10-28,52978,1780,86112,7279,12720,160869
2025-10-29,20650,1168,43085,2484,15864,83251
2025-10-30,9317,1247,36547,2992,24840,74943
2025-10-31,28238,1550,48096,7875,26376,112135
2025-11-01,69638,8419,394790,21118,44220,538185
2025-11-02,65707,7558,313200,13946,31368,431780
2025-11-03,63288,3316,90662,9040,12636,178942
2025-11-04,33278,245,4694,3857,3804,45879
2025-11-05,25834,734,37123,8901,15744,88336
2025-11-06,38405,502,15005,8095,9444,71450
2025-11-07,13450,1897,56304,2885,27744,102280
2025-11-08,16862,5443,111715,2417,49500,185938
2025-11-09,108389,3308,155894,24959,35928,328478
2025-11-10,143669,4018,235872,21919,36396,441873
2025-11-11,102701,409,19354,11875,10932,145270
2025-11-12,22262,1343,9360,2813,23592,59371
2025-11-13,106632,1487,71309,7207,28416,215051
2025-11-14,129254,3586,166435,10282,58392,367949
2025-11-15,89482,801,29088,3737,13092,136199
2025-11-16,2203,175,5299,68,792,8537
2025-11-17,173405,8770,398477,16713,57828,655192
2025-11-18,84427,7501,419731,15979,68604,596242
2025-11-19,51394,4333,125770,8521,34704,224721
2025-11-20,37253,4883,113443,3740,39804,199124
2025-11-21,43013,5528,126778,4115,52740,232173
2025-11-22,19397,738,7517,655,7980,36287
2025-11-23,5443,153,1037,86,192,6911
2025-11-24,6826,398,29146,1042,7452,44863
2025-11-25,109080,6493,445450,15696,63372,640090
2025-11-26,32688,2113,52790,2979,19824,110395
2025-11-27,98179,824,337738,15386,46992,499120
2025-11-28,69782,1786,200074,6111,44196,321949
2025-11-29,26280,254,6970,3044,1368,37915
2025-11-30,65880,167,8208,4991,504,79751
2025-12-01,129586,3407,91526,7250,22716,254486
2025-12-02,206093,6187,209981,16256,49620,488136
2025-12-03,103464,3101,450259,18376,105792,680993
2025-12-04,15408,4,146880,6509,59616,228416
2025-12-05,111528,394,232877,9270,74148,428217
2025-12-06,22752,547,29722,2149,8688,63858
2025-12-07,9835,2389,94234,2743,33432,142633
2025-12-08,104386,7731,197712,13345,83184,406358
2025-12-09,146650,4037,96106,7366,58272,312430
2025-12-10,18662,419,19555,1825,3144,43606
2025-12-11,130435,8010,300758,14308,85068,538580
2025-12-12,79085,4909,116064,5762,67596,273415
2025-12-13,60797,5737,233770,7918,88620,396841
2025-12-14,130896,3681,552125,18778,119328,824807
2025-12-15,25200,2898,94234,3296,31368,156995
2025-12-16,7358,241,3888,1269,4800,17557
2025-12-17,94810,7780,238982,14105,89424,445100
2025-12-18,58853,1278,40003,4815,21732,126681
2025-12-19,21125,479,15869,4268,5736,47476
2025-12-20,59602,3298,77213,6721,37608,184441
2025-12-21,147067,6431,394272,3789,95136,646696
2025-12-22,31075,1118,21917,666,14448,69224
2025-12-23,13565,776,44323,2957,14748,76369
2025-12-24,155232,7042,255427,15287,74016,507004
2025-12-25,149803,4000,591869,19760,88656,854088
2025-12-26,110131,5008,447235,14974,94992,672340
2025-12-27,33307,1525,36173,2464,23484,96953
2025-12-28,12758,436,11088,2653,4440,31375
2025-12-29,29837,2947,80726,4862,30132,148504
2025-12-30,111168,2741,51667,12901,34680,213157
2025-12-31,150307,7904,310378,17939,82992,569519
