date,temp_avg_c,temp_max_c,temp_min_c,wind_avg_ms,wind_max_ms,wind_gust_ms,sunshine_hr,sunshine_rate_pct,solar_radiation_mj_m2,solar_total_kwh,wind_total_kwh,solar_gyorae_kwh,solar_haengwon_kwh,solar_promo_parking_kwh,solar_stadium_kwh,solar_susan_kwh,wind_dongbok_kwh,wind_gasiri_kwh,wind_gimnyeong_kwh,wind_haengwon_kwh,wind_sinchang_kwh
2024-01-01,9.3,12.3,6.6,1.0,3.1,5.6,2.2,22.0,,2808.156,32969.58,747.8,37.656,43.44,488.832,1490.428,21542.4,,790.56,7306.8,3329.82
2024-01-02,9.8,14.0,6.1,1.3,3.8,6.8,7.6,76.0,,4892.581,10276.024,1081.6,240.264,143.88,813.344,2613.493,2822.4,,381.06,5544.004,1528.56
2024-01-03,9.1,12.3,6.4,1.5,4.2,8.6,5.9,59.0,,4339.399,456759.8400000001,1018.0,168.696,119.28,315.072,2718.351,355478.4,,5867.82,77631.6,17782.02
2024-01-04,7.8,12.0,4.1,1.6,3.9,7.9,9.2,92.0,,8119.184,91298.82,1988.6,416.88,215.04,1356.416,4142.248,66412.8,,2197.26,20049.6,2639.16
2024-01-05,11.4,14.8,7.6,1.5,3.7,7.0,2.1,21.0,,5939.471,73017.539,1666.8,284.184,168.32,762.656,3057.511,57168.0,,1224.9,9935.999,4688.64
2024-01-06,9.8,13.7,5.7,1.5,3.2,7.8,9.2,91.1,,9262.04,181658.46,2010.8,512.136,286.88,1377.824,5074.4,120009.6,,4659.12,43525.2,13464.54
2024-01-07,6.3,9.7,4.4,1.7,4.5,9.3,8.8,87.1,,2125.314,615650.28,517.2,110.016,103.84,283.488,1110.77,482198.4,,6441.48,105334.8,21675.6
2024-01-08,5.4,7.2,3.6,0.9,2.3,4.8,0.1,1.0,,5322.784,56605.44,1030.8,258.84,158.36,935.872,2938.912,32976.0,,1292.22,18030.0,4307.22
2024-01-09,8.3,10.8,3.2,0.9,3.0,6.6,0.0,0.0,,1590.061,38344.921,362.2,53.64,51.76,192.48,929.981,25200.0,,990.36,8037.601,4116.96
2024-01-10,7.7,10.8,4.0,1.2,2.9,6.6,7.3,72.3,,6503.135,419439.06000000006,1248.6,288.072,174.48,574.528,4217.455,334454.4,,10828.26,63367.2,10789.2
2024-01-11,6.9,11.6,2.7,1.7,3.3,7.4,8.5,84.2,,9150.737,225898.43999999997,2247.4,380.592,220.12,938.24,5364.385,177436.8,,6094.08,39602.4,2765.16
2024-01-12,10.1,14.1,6.6,1.7,3.7,8.6,8.1,80.2,,5483.993,177323.4,1395.8,126.144,110.84,442.24,3408.969,126835.2,,5076.72,40176.0,5235.48
2024-01-13,9.1,14.4,5.0,1.8,4.2,6.9,9.3,91.2,,9834.316,70478.16,2209.8,529.128,303.6,1487.424,5304.364,34560.0,,1634.4,23240.4,11043.36
2024-01-14,11.9,15.8,6.0,1.9,4.3,7.8,6.3,61.8,,9536.116,192664.74,2139.0,516.888,288.8,1475.808,5115.62,140284.8,,4722.84,35544.0,12113.1
2024-01-15,9.1,12.1,5.9,1.7,3.9,7.9,9.4,92.2,,10520.794,461742.96,2359.8,584.784,358.0,1524.064,5694.146,344966.4,,11662.74,84864.0,20249.82
2024-01-16,8.9,12.4,5.0,1.5,2.6,4.2,8.2,80.4,,9867.026,69623.81999999999,2194.2,526.248,307.72,1640.8,5198.058,41904.0,,1627.74,17802.0,8290.08
2024-01-17,14.0,17.2,9.2,1.4,2.8,5.0,4.8,47.1,,4689.901,66865.02,1023.0,233.424,145.16,911.296,2377.021,44294.4,,1145.34,13394.4,8030.88
2024-01-18,15.2,17.5,12.6,1.2,3.1,5.7,0.5,4.9,,1728.353,41993.28,466.2,25.92,2.6,233.504,1000.129,18057.6,,1287.0,16203.6,6445.08
2024-01-19,11.3,12.7,10.7,3.3,4.9,9.8,0.0,0.0,,345.843,520164.72,66.4,0.0,0.04,159.36,120.043,434707.2,,1375.56,82270.8,1811.16
2024-01-20,11.6,12.2,10.0,3.5,4.9,10.6,0.0,0.0,,366.104,533470.32,115.2,0.72,0.0,79.52,170.664,451497.6,,0.0,78606.0,3366.72
2024-01-21,10.4,11.9,8.4,1.5,4.9,9.6,0.2,1.9,,884.827,228583.8,205.4,14.544,15.52,99.04,550.323,162547.2,,4571.28,43369.2,18096.12
2024-01-22,3.3,8.9,-0.3,1.9,5.8,13.8,6.8,66.0,,1230.434,677456.4,280.0,11.736,0.88,155.36,782.458,604771.2,,207.36,58954.8,13523.04
2024-01-23,0.1,2.5,-1.8,2.6,4.8,11.8,5.5,52.9,,3197.601,638559.1200000001,784.2,124.128,18.52,303.04,1967.713,597340.8,,15.3,27750.0,13453.02
2024-01-24,3.3,6.5,-1.0,2.5,4.8,10.1,5.9,56.7,,1841.093,672895.0800000001,537.8,75.672,22.4,207.264,997.957,614044.8,,6.12,35535.6,23308.56
2024-01-25,5.0,8.6,2.8,0.8,2.0,4.4,2.9,27.9,,3040.658,511902.96,637.2,91.944,71.84,181.568,2058.106,402192.0,,7703.28,80692.8,21314.88
2024-01-26,6.0,10.9,4.0,1.2,3.0,6.0,5.5,52.9,,4642.256,339924.66,942.6,240.984,145.56,218.72,3094.392,238262.4,,8408.16,77856.0,15398.1
2024-01-27,6.8,10.8,3.0,1.3,2.8,7.4,6.3,60.0,,6488.014,198288.24,1577.0,230.904,164.96,793.056,3722.094,129254.4,,4897.62,55806.0,8330.22
2024-01-28,6.8,10.6,4.4,1.6,3.4,8.6,9.4,89.5,,7169.763,376700.94,1259.2,251.64,169.76,709.088,4780.075,280598.4,,9129.24,73429.2,13544.1
2024-01-29,6.3,10.9,2.1,1.5,3.4,6.6,9.5,90.5,,8032.053,40244.82,1753.4,328.176,190.28,1300.48,4459.717,24595.2,,1078.02,13434.0,1137.6
2024-01-30,8.5,10.0,5.3,1.9,3.2,6.7,0.0,0.0,,1175.857,42177.9,266.4,35.352,28.56,316.192,529.353,27072.0,,653.04,12774.0,1678.86
2024-01-31,12.6,16.2,10.0,1.3,3.5,5.6,3.2,30.2,,2546.722,43525.94,545.0,69.048,60.8,1035.904,835.97,28166.4,622.1,1086.66,13314.0,336.78
2024-02-01,11.1,12.5,9.8,2.1,4.5,8.3,0.0,0.0,,279.591,131542.02,88.8,0.0,0.2,55.36,135.231,72576.0,,3323.34,40485.6,15157.08
2024-02-02,10.7,11.4,10.0,2.5,4.1,7.5,0.0,0.0,,497.556,121066.38,138.6,0.144,0.24,117.76,240.812,74851.2,,3754.62,31370.4,11090.16
2024-02-03,10.0,11.4,9.6,2.8,4.5,7.3,0.0,0.0,,384.958,192646.56,87.4,1.944,2.2,149.504,143.91,129772.8,,8244.18,52939.2,1690.38
2024-02-04,11.4,14.1,9.9,3.5,5.6,10.2,2.2,20.6,,1478.899,263530.62,258.4,90.504,74.28,365.824,689.891,200764.8,,9003.96,50328.0,3433.86
2024-02-05,10.9,16.1,8.4,2.1,5.0,8.4,4.0,37.4,,2375.107,283250.7,398.0,44.424,5.04,287.52,1640.123,211680.0,,6350.58,52491.6,12728.52
2024-02-06,9.8,12.5,7.6,1.3,3.0,5.2,2.2,20.6,,2836.939,170336.15999999997,598.4,70.488,79.28,149.984,1938.787,107510.4,,5087.34,41104.8,16633.62
2024-02-07,7.5,10.8,4.7,1.1,3.0,6.4,6.8,63.6,,4854.034,247437.60000000003,849.8,128.736,123.48,655.456,3096.562,173664.0,,5971.14,46957.2,20845.26
2024-02-08,7.1,10.1,4.2,1.5,3.2,5.7,8.6,79.6,,4949.545,203327.16,1074.6,155.304,145.4,485.632,3088.609,144028.8,,4942.08,39886.8,14469.48
2024-02-09,6.4,10.7,3.3,1.2,3.5,6.8,8.1,75.0,,5473.35,341554.92,887.2,201.24,159.84,513.824,3711.246,258912.0,,9262.62,57735.6,15644.7
2024-02-10,7.2,11.2,4.0,1.1,3.2,6.5,4.4,40.7,,3780.801,158355.0,832.6,158.688,136.84,542.496,2110.177,118051.2,,4306.86,28188.0,7808.94
2024-02-11,8.5,12.1,5.6,1.6,4.6,8.8,7.8,71.6,,7058.085,411094.68000000005,1726.2,391.104,241.6,1175.232,3523.949,340963.2,,5628.96,48541.2,15961.32
